Date/Time	Elapsed Time	Pump 1 Flow (mL/min)	Pump 2 Flow (mL/min)	Pump 3 Flow (mL/min)	Pump 4 Flow (mL/min)	Coriolis Flow (mL/min)	Pump 1 Pressure (bar)	Pump 2 Pressure (bar)	Pump 3 Pressure (bar)	Pump 4 Pressure (bar)	UV detector 1 (mAU) 	UV detector 2 (mAU)
04/04/2023 16:24:15	00:02:12	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,92	0,00
04/04/2023 16:24:16	00:02:13	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,81	0,00
04/04/2023 16:24:17	00:02:14	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,67	0,00
04/04/2023 16:24:18	00:02:15	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,58	0,00
04/04/2023 16:24:19	00:02:16	1,00	0,00	0,00	0,00	0,03	52,00	0,00	0,00	0,00	0,52	0,00
04/04/2023 16:24:20	00:02:17	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	0,00	0,46	0,00
04/04/2023 16:24:21	00:02:18	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,44	0,00
04/04/2023 16:24:22	00:02:19	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,40	0,00
04/04/2023 16:24:23	00:02:20	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,35	0,00
04/04/2023 16:24:24	00:02:21	1,00	0,00	0,00	0,00	0,03	52,00	0,00	0,00	0,00	0,35	0,00
04/04/2023 16:24:25	00:02:22	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	0,35	0,00
04/04/2023 16:24:26	00:02:23	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,34	0,00
04/04/2023 16:24:27	00:02:24	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,16	0,00
04/04/2023 16:24:28	00:02:25	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,34	0,00
04/04/2023 16:24:29	00:02:26	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,32	0,00
04/04/2023 16:24:30	00:02:27	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	0,33	0,00
04/04/2023 16:24:31	00:02:28	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,32	0,00
04/04/2023 16:24:32	00:02:29	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,36	0,00
04/04/2023 16:24:33	00:02:30	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,40	0,00
04/04/2023 16:24:34	00:02:31	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,43	0,00
04/04/2023 16:24:35	00:02:32	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	0,00	0,47	0,00
04/04/2023 16:24:36	00:02:33	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	0,00	0,58	0,00
04/04/2023 16:24:37	00:02:34	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,62	0,00
04/04/2023 16:24:38	00:02:35	1,00	0,00	0,00	0,00	0,03	54,00	0,00	1,00	0,00	0,73	0,00
04/04/2023 16:24:39	00:02:36	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,83	0,00
04/04/2023 16:24:40	00:02:37	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,90	0,00
04/04/2023 16:24:41	00:02:38	1,00	0,00	0,00	0,00	0,03	52,00	0,00	0,00	1,00	1,01	0,00
04/04/2023 16:24:42	00:02:39	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	1,00	0,87	0,00
04/04/2023 16:24:43	00:02:40	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,53	0,00
04/04/2023 16:24:44	00:02:41	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,03	0,00
04/04/2023 16:24:45	00:02:42	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	-0,02	0,00
04/04/2023 16:24:46	00:02:43	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	0,11	0,00
04/04/2023 16:24:47	00:02:44	1,00	0,00	0,00	0,00	0,03	55,00	1,00	0,00	0,00	0,43	0,00
04/04/2023 16:24:48	00:02:45	1,00	0,00	0,00	0,00	0,03	54,00	0,00	1,00	1,00	0,82	0,00
04/04/2023 16:24:49	00:02:46	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	1,29	0,00
04/04/2023 16:24:50	00:02:47	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	1,72	0,00
04/04/2023 16:24:51	00:02:48	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	1,00	2,16	0,00
04/04/2023 16:24:52	00:02:49	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	0,00	2,60	0,00
04/04/2023 16:24:53	00:02:50	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	2,93	0,00
04/04/2023 16:24:54	00:02:51	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	3,31	0,00
04/04/2023 16:24:55	00:02:52	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	3,56	0,00
04/04/2023 16:24:56	00:02:53	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	3,74	0,00
04/04/2023 16:24:57	00:02:54	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	3,89	0,00
04/04/2023 16:24:58	00:02:55	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	4,02	0,00
04/04/2023 16:24:59	00:02:56	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	4,08	0,00
